u,g,r,i,z,class
19.90135,18.79428,18.55808,18.43732,18.469089999999998,F
19.6551,18.40329,18.4489,18.50466,18.52769,A
20.05738,18.97326,18.76216,18.7359,18.649910000000002,A
24.12272,21.41082,20.00542,19.331979999999998,18.85579,M
20.18215,19.05414,18.771060000000002,18.6585,18.65023,F
18.732310000000002,17.60339,17.55787,17.58525,17.619220000000002,A
23.76652,22.05834,20.46004,18.46325,17.41916,M
18.45969,17.36722,17.01,16.88767,16.84809,F
17.54409,16.48711,16.45877,16.48929,16.55941,A
16.41402,15.494320000000002,15.24635,15.14243,15.117239999999999,A
25.20099,21.79516,20.220029999999998,18.34768,17.28886,M
20.4065,19.188010000000002,18.79239,18.62504,18.609170000000002,F
23.43337,21.84419,20.18623,18.038710000000002,16.786170000000002,M
20.10776,19.01006,18.74416,18.63946,18.61886,F
18.85678,17.55819,17.63512,17.71958,17.75187,A
24.91863,22.68923,21.13855,19.24413,18.11893,M
18.53406,17.42826,17.148120000000002,17.057470000000002,17.0559,F
23.88447,22.94735,21.255020000000002,19.22182,18.12537,M
23.08604,21.72835,19.95119,17.559070000000002,16.14434,M
19.68447,18.6953,18.41945,18.30013,18.29601,F
25.2609,22.30536,20.75221,18.84274,17.7048,M
25.25039,22.72634,21.24154,19.196720000000003,18.05913,M
20.17085,19.027420000000003,18.75254,18.6159,18.6127,F
18.95579,17.839029999999998,17.467579999999998,17.32047,17.293020000000002,F
23.57706,23.16605,20.89789,20.24462,19.78888,M
18.17475,18.28584,18.59667,18.84469,19.11814,O
19.78063,18.732129999999998,18.50466,18.43091,18.44196,A
19.14551,17.94895,17.85661,17.85323,17.883210000000002,A
24.30224,21.68535,20.19172,18.92701,18.21743,M
18.64252,17.46848,17.347170000000002,17.333289999999998,17.36111,A
18.25633,16.75476,16.15203,15.92617,15.82208,F
17.15533,15.93695,15.737420000000002,15.719289999999999,15.738129999999998,F
19.4201,18.36756,18.21859,18.201710000000002,18.22385,A
17.84543,16.53516,16.440939999999998,16.44811,16.447129999999998,A
19.39506,18.51171,18.22856,18.125220000000002,18.04729,A
19.154120000000002,17.99261,17.49253,17.37712,17.300910000000002,F
21.110039999999998,19.94483,19.51866,19.30969,19.32037,F
20.68945,20.26512,20.18736,19.58839,19.04514,M
20.04498,18.94484,18.82538,18.77037,18.77965,A
18.19823,18.17013,18.21209,18.20648,18.274379999999997,O
17.63985,15.96545,15.23804,14.93304,14.76249,F
17.96365,16.607770000000002,16.05958,15.823129999999999,15.716970000000002,F
24.61992,22.196279999999998,20.5675,19.766270000000002,19.24697,M
19.80438,18.49509,18.42481,18.45346,18.49846,A
15.75881,14.49055,14.5731,14.615089999999999,14.636820000000002,F
18.6271,18.43502,18.34166,17.75866,17.25111,M
18.89894,17.83511,17.46925,17.32021,17.26144,F
17.86138,16.4761,15.86589,15.627970000000001,15.49784,F
18.823970000000003,17.72606,17.280620000000003,17.08138,16.98621,F
18.99024,17.97429,17.64467,17.52848,17.49185,F
18.45889,17.40299,16.99001,16.823710000000002,16.75095,F
20.201810000000002,19.7065,18.37623,18.198,18.11234,F
16.92932,15.940270000000002,15.52726,15.35948,15.290320000000001,F
18.98976,17.81626,17.63683,17.60254,17.60807,A
